model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
alpha_2.5_temp_10.0,2.5,10.0,45,3900,0.99625075,1.5370336,1.0,1.327777900989937,0.4648244089583556,0.20642208083719016,0.20420330309122803
alpha_2.5_temp_10.0,2.5,10.0,45,4000,0.9848241,1.5375515,1.0,1.3194134275922822,0.46480041031042735,0.20178203905125458,0.19642796607563895
alpha_2.5_temp_10.0,2.5,10.0,45,4100,0.9764365,1.5441706,1.0,1.3327753168066887,0.4662794418881337,0.20655051496997476,0.21019017366071543
alpha_2.5_temp_10.0,2.5,10.0,45,4200,0.9674201,1.5475049,1.0,1.3306013898816766,0.4663761256933212,0.2064991920863589,0.20813463572164373
alpha_2.5_temp_10.0,2.5,10.0,45,4300,0.9568746,1.5600028,1.0,1.33281821111404,0.4661783680568139,0.20417817463229096,0.2018328657137851
alpha_2.5_temp_10.0,2.5,10.0,45,4400,0.9465295,1.5644886,1.0,1.3342444329685097,0.4664697964837153,0.20817433178424835,0.19970349426070846
alpha_2.5_temp_10.0,2.5,10.0,45,4500,0.93844754,1.5752001,1.0,1.3300177705086433,0.4661153779923916,0.20323707580566405,0.2004687670903901
alpha_2.5_temp_10.0,2.5,10.0,45,4600,0.92508996,1.5821996,1.0,1.317888763630589,0.46733961801727614,0.20249034724136195,0.19867294423654677
alpha_2.5_temp_10.0,2.5,10.0,45,4700,0.914879,1.5864441,1.0,1.3324815069935831,0.46667425399521983,0.2072291691650947,0.2017434252711634
alpha_2.5_temp_10.0,2.5,10.0,45,4800,0.90347034,1.5900934,1.0,1.3230124098464335,0.466076977233092,0.20427511826902625,0.20025459313144287
alpha_2.5_temp_10.0,2.5,10.0,45,4900,0.9021273,1.5963185,1.0,1.3427467200517154,0.4664082887917757,0.20866230482111373,0.20723020401224493
alpha_2.5_temp_10.0,2.5,10.0,45,4999,0.8864703,1.602595,1.0,1.3223389298212451,0.467097799350818,0.2025174875110388,0.19645333230495454
alpha_2.5_temp_10.0,2.5,10.0,46,0,4.3999553,4.4000807,1.0,1.1310793219780986,0.29774003603061044,0.09844025632739066,0.17123361367980638
alpha_2.5_temp_10.0,2.5,10.0,46,100,2.4376621,2.4526684,1.0,1.3182418463537369,0.35961106904347734,0.2046023090481758,0.24654931157827378
alpha_2.5_temp_10.0,2.5,10.0,46,200,2.1946695,2.2249732,1.0,1.3137342420287028,0.36509552310903864,0.18884412457297248,0.22539897104228535
alpha_2.5_temp_10.0,2.5,10.0,46,300,1.935682,2.027192,1.0,1.3019990024277097,0.3842000941832861,0.17835749266544978,0.22853993446379903
alpha_2.5_temp_10.0,2.5,10.0,46,400,1.7460952,1.8843435,1.0,1.3065821911315203,0.40239699313044547,0.17268411817153295,0.2060073630437255
alpha_2.5_temp_10.0,2.5,10.0,46,500,1.6192505,1.7818483,1.0,1.3057162742124562,0.4143509391844273,0.17425005867456397,0.2104056325480342
alpha_2.5_temp_10.0,2.5,10.0,46,600,1.5371867,1.7070596,1.0,1.3432640782481213,0.42296714767813676,0.19170967192202806,0.21823082236200575
alpha_2.5_temp_10.0,2.5,10.0,46,700,1.4748247,1.6545593,1.0,1.3156805462978647,0.42770591848095263,0.1814041648556789,0.19528670942783355
alpha_2.5_temp_10.0,2.5,10.0,46,800,1.4284782,1.6145866,1.0,1.2942027231008295,0.4324315791229407,0.17683915704985462,0.1922730646083752
alpha_2.5_temp_10.0,2.5,10.0,46,900,1.3904914,1.5924397,1.0,1.2850257945447046,0.4360699814856053,0.1731835331482192,0.18188610600431762
alpha_2.5_temp_10.0,2.5,10.0,46,1000,1.3598514,1.5661864,1.0,1.3060699730477738,0.4381825287540753,0.18285662268226346,0.19869640166560806
alpha_2.5_temp_10.0,2.5,10.0,46,1100,1.3362844,1.5550735,1.0,1.3135192786827314,0.4409577092130979,0.18014974102626244,0.1883470451310277
alpha_2.5_temp_10.0,2.5,10.0,46,1200,1.3128645,1.5362781,1.0,1.2873110707085174,0.44231669217348096,0.1732434902563691,0.18219418945411844
alpha_2.5_temp_10.0,2.5,10.0,46,1300,1.2918937,1.5173259,1.0,1.3054985703333637,0.4426649605035782,0.179664668324093,0.18234375609209139
alpha_2.5_temp_10.0,2.5,10.0,46,1400,1.2745122,1.5166698,1.0,1.3170149318196311,0.4443679681271315,0.18085837489614884,0.1913677648504575
alpha_2.5_temp_10.0,2.5,10.0,46,1500,1.2610914,1.5108602,1.0,1.314890152123054,0.4483432112584511,0.18170169224217533,0.18505741807321707
alpha_2.5_temp_10.0,2.5,10.0,46,1600,1.2429862,1.5066321,1.0,1.3155311343291125,0.44652719278136893,0.18130180303379895,0.18562346264719962
alpha_2.5_temp_10.0,2.5,10.0,46,1700,1.2271792,1.4945793,1.0,1.30563102567543,0.4498807382484277,0.18198637930552164,0.18782358087350923
alpha_2.5_temp_10.0,2.5,10.0,46,1800,1.2162286,1.496777,1.0,1.3139839133389553,0.4485883964548509,0.18287490609288215,0.1834631362333894
alpha_2.5_temp_10.0,2.5,10.0,46,1900,1.2020471,1.4908369,1.0,1.3167545997816783,0.45024531399210294,0.1842101972425977,0.18374039272467294
alpha_2.5_temp_10.0,2.5,10.0,46,2000,1.1896096,1.4900489,1.0,1.315077154502184,0.4525871674070756,0.18115816844503085,0.1921819063872099
alpha_2.5_temp_10.0,2.5,10.0,46,2100,1.1755455,1.4873443,1.0,1.3214525754378463,0.4516362050970395,0.18485252254207926,0.18175566506634155
alpha_2.5_temp_10.0,2.5,10.0,46,2200,1.166616,1.4903694,1.0,1.3165550319229367,0.45223883084456123,0.1853619655420383,0.17841775687783956
alpha_2.5_temp_10.0,2.5,10.0,46,2300,1.1519074,1.4964532,1.0,1.3196716931277475,0.4519955915808678,0.1815644290409982,0.17499547934283813
alpha_2.5_temp_10.0,2.5,10.0,46,2400,1.1418444,1.4940321,1.0,1.3023518610918188,0.45320826977491374,0.1737907737543186,0.16873157948752246
alpha_2.5_temp_10.0,2.5,10.0,46,2500,1.1318727,1.4959708,1.0,1.3077367197496805,0.453216951896747,0.17788787229607503,0.1736652992106974
alpha_2.5_temp_10.0,2.5,10.0,46,2600,1.120338,1.5002109,1.0,1.3273206623325164,0.4538233687778314,0.18650679107382895,0.18600586637109517
alpha_2.5_temp_10.0,2.5,10.0,46,2700,1.1090692,1.4989612,1.0,1.3153834231307158,0.4545696781774362,0.18311784220238525,0.1804633064555625
alpha_2.5_temp_10.0,2.5,10.0,46,2800,1.0993365,1.500524,1.0,1.318521508442925,0.4555664383023977,0.1807958756685257,0.1910575422545274
alpha_2.5_temp_10.0,2.5,10.0,46,2900,1.0869704,1.5115225,1.0,1.3198930467498406,0.45540048257509874,0.18467863595734044,0.18179410672932864
alpha_2.5_temp_10.0,2.5,10.0,46,3000,1.0770799,1.4995059,1.0,1.3233725166051669,0.45557028139630956,0.18289750003566344,0.18572361039742827
alpha_2.5_temp_10.0,2.5,10.0,46,3100,1.0680166,1.508701,1.0,1.31218651007434,0.45500270205239457,0.1812946959237258,0.1789398175875346
alpha_2.5_temp_10.0,2.5,10.0,46,3200,1.0588316,1.5212249,1.0,1.2974403335209619,0.45669130767385163,0.17525718374426166,0.17737532517562313
alpha_2.5_temp_10.0,2.5,10.0,46,3300,1.0446248,1.5229326,1.0,1.3234819114778535,0.4564012715468804,0.18186338363960386,0.1828937257801493
alpha_2.5_temp_10.0,2.5,10.0,46,3400,1.0369834,1.5287476,1.0,1.3198102156199314,0.4555322722047567,0.1853765332164864,0.1834251050626238
alpha_2.5_temp_10.0,2.5,10.0,46,3500,1.0255389,1.5288557,1.0,1.3308603220988038,0.45502047882974156,0.1837112360447645,0.18189088271558285
alpha_2.5_temp_10.0,2.5,10.0,46,3600,1.0142306,1.5364871,1.0,1.3232159696965682,0.4581142127563556,0.18274539919445912,0.1791252359437446
alpha_2.5_temp_10.0,2.5,10.0,46,3700,1.0039823,1.5373207,1.0,1.3200400806487973,0.45712597226599844,0.18443409512688716,0.18319506620615722
alpha_2.5_temp_10.0,2.5,10.0,46,3800,0.9913941,1.5481604,1.0,1.3265039748767478,0.45632208426793414,0.1786814501211047,0.18004142047464847
alpha_2.5_temp_10.0,2.5,10.0,46,3900,0.9845652,1.5500379,1.0,1.3251610214172478,0.4577042940606673,0.18617633890795207,0.19020935103297232
alpha_2.5_temp_10.0,2.5,10.0,46,4000,0.9746702,1.5529519,1.0,1.3268702067666294,0.45828108170628545,0.18028823633616167,0.1872621569260955
alpha_2.5_temp_10.0,2.5,10.0,46,4100,0.9615232,1.5631945,1.0,1.3281317120041798,0.4573802932153146,0.18363194992144904,0.18725479718049368
alpha_2.5_temp_10.0,2.5,10.0,46,4200,0.95239085,1.5617236,1.0,1.3239414832775065,0.4566382008145253,0.18615794210384293,0.18162120211124422
alpha_2.5_temp_10.0,2.5,10.0,46,4300,0.94113904,1.5788127,1.0,1.3236250895327977,0.4576627578487,0.18157705464959148,0.18302887243280808
alpha_2.5_temp_10.0,2.5,10.0,46,4400,0.9310608,1.5849963,1.0,1.3350306439025958,0.4574094549367825,0.18365072988097866,0.18918696686501305
alpha_2.5_temp_10.0,2.5,10.0,46,4500,0.9208677,1.593428,1.0,1.3489206433539322,0.45818078466256457,0.18745959848910573,0.19150344468404848
alpha_2.5_temp_10.0,2.5,10.0,46,4600,0.90719664,1.5993001,1.0,1.3274374213321896,0.45800287017722924,0.1806398785834511,0.17749045712500808
alpha_2.5_temp_10.0,2.5,10.0,46,4700,0.90007716,1.6066136,1.0,1.3301852047806035,0.4579578731705745,0.18641488027200104,0.18555626772219935
alpha_2.5_temp_10.0,2.5,10.0,46,4800,0.8906768,1.6137229,1.0,1.322846277343598,0.45863307926058766,0.18382220625008147,0.1877712364743153
alpha_2.5_temp_10.0,2.5,10.0,46,4900,0.87986976,1.6194524,1.0,1.334575910422367,0.45717661616702876,0.18595526243497928,0.19316534510999916
alpha_2.5_temp_10.0,2.5,10.0,46,4999,0.86856145,1.6260483,1.0,1.315277259280209,0.4578110796511173,0.17901695290207864,0.17635352407271662
