,model_key,alpha,temperature,seed,iter,loss_train,loss_val,Expert Utilization,Load Imbalance Ratio,Routing Concentration,Expert Load Variation,Routing Probability CV
0,alpha_1.5_temp_10.0,1.5,10.0,45,0,4.3451085,4.3402333,1.0,0.9999999999999424,0.1549417509486278,0.0,0.03260245359875262
1,alpha_1.5_temp_10.0,1.5,10.0,45,100,2.4497867,2.462901,1.0,0.9999999999999424,0.19830207576354345,0.0,0.11069986698031425
2,alpha_1.5_temp_10.0,1.5,10.0,45,200,2.2442017,2.2677195,1.0,1.000145081657408,0.2231599188496669,0.00038286527555404364,0.12829962557181718
3,alpha_1.5_temp_10.0,1.5,10.0,45,300,2.027217,2.0922084,1.0,1.0184383548313602,0.2611482915927966,0.020013202929015584,0.15223457511141894
4,alpha_1.5_temp_10.0,1.5,10.0,45,400,1.8363522,1.9576,1.0,1.0467248325973888,0.30029298849900565,0.04851822693723564,0.1966582487691194
5,alpha_1.5_temp_10.0,1.5,10.0,45,500,1.6991551,1.8494729,1.0,1.0700910550384652,0.3303976815839608,0.06526342734401502,0.20934380607927838
6,alpha_1.5_temp_10.0,1.5,10.0,45,600,1.5983064,1.7638617,1.0,1.070343628743596,0.3509661411345005,0.06501243927221124,0.20902455348397295
7,alpha_1.5_temp_10.0,1.5,10.0,45,700,1.5255549,1.7085713,1.0,1.080280613890023,0.3651453029861053,0.06876529919356107,0.2074013552473237
8,alpha_1.5_temp_10.0,1.5,10.0,45,800,1.4693911,1.6579297,1.0,1.077951903818772,0.375153807302316,0.07299888989329338,0.18571575374901295
9,alpha_1.5_temp_10.0,1.5,10.0,45,900,1.424836,1.625765,1.0,1.0844976639639052,0.3802909869899352,0.07395965280756354,0.18057999793812632
10,alpha_1.5_temp_10.0,1.5,10.0,45,1000,1.389042,1.5932087,1.0,1.0891584465255957,0.38984411873916786,0.07520175972642998,0.17992342658403018
11,alpha_1.5_temp_10.0,1.5,10.0,45,1100,1.362834,1.5731465,1.0,1.0928585817450163,0.39390906364719075,0.07966682754146555,0.1817562941579769
12,alpha_1.5_temp_10.0,1.5,10.0,45,1200,1.3338066,1.5612696,1.0,1.0875675182420266,0.39954081274072323,0.07476214399343978,0.17149186764160793
13,alpha_1.5_temp_10.0,1.5,10.0,45,1300,1.3130263,1.5459746,1.0,1.099091770342875,0.40220450527469315,0.07979595756158232,0.18094215059715013
